训练轮数,充电站利润,电动汽车成本,拥堵成本,充电站策略熵,电动汽车策略熵,成本方差,充电站策略集中度
68,13.507522333430877,0.7491920694318156,0.07285895591014023,1.597457865035575,1.4774627134391465,0.06173318326622006,0.2270712809263869
69,14.0965621043514,0.7379175071674032,0.05534539442521473,1.5534893439545336,1.4898764145297414,0.06555002081114018,0.2886550064210369
70,13.294040670610155,0.7332631317815541,0.053170447755659274,1.5702180081962596,1.490522073394163,0.06681338229059422,0.2483707776915095
71,14.558431723195271,0.7198831513775716,0.02205381534289354,1.4635251249003651,1.5063357670955895,0.07364735093252466,0.3659582876030277
72,13.88785395922504,0.7143342056894285,0.02067388718796749,1.3416065764396037,1.4985339751676647,0.07398444702503387,0.3753061843392082
73,13.820456483392448,0.7204982792229573,0.03412378082825751,1.5084279403625451,1.4927174950988626,0.07075058984049794,0.28384667548646453
74,14.319026207503784,0.7239219009401688,0.03943982454326391,1.4848194584497698,1.4932762520663017,0.06906460006765555,0.3351444797579788
75,14.047181986165828,0.7235715966673532,0.03729576085521734,1.4601556286197752,1.4972619305905164,0.0697154305141527,0.3219050789452447
76,13.387934290096878,0.7257311900483703,0.047657178474946625,1.4552158807205848,1.4932107478370589,0.06702036902772511,0.3432727853219373
77,13.80148677670321,0.732335828033246,0.05243741397016752,1.519301907928085,1.4996158497003145,0.06644864429414084,0.28967140883738085
78,13.989166010416424,0.7377627485523826,0.06787085993501192,1.4862821953654628,1.4926949722623206,0.0631086029026762,0.30304014916978494
79,14.211439020315161,0.7341833336778352,0.053919414632956866,1.5102284148561307,1.4873484577004334,0.0658826316985901,0.29931581756283715
80,14.03954558728007,0.7352547647653632,0.05452256840011891,1.5348383313154284,1.4840402236008408,0.0655564977885905,0.29529300251700696
81,15.259140778997748,0.736661843297513,0.054233180764485356,1.3721737507425726,1.4844633352414127,0.06568017997053507,0.38827466509480424
82,15.396781803677456,0.7373443540349363,0.043499037726479416,1.3878423067711996,1.5054261435636729,0.06853647792112319,0.4118684915124955
83,14.773143084174365,0.7502161289632351,0.0714981587472171,1.4770269960625964,1.496999896006642,0.06305206951522699,0.35142263336695767
84,15.177284505312391,0.7610059938129844,0.09246322293461925,1.4377742150201982,1.491471685388037,0.05942687920293336,0.38736051015812456
85,14.42063703899361,0.7878241917674241,0.14482213159174603,1.4988944208515236,1.5000352519766234,0.05331791335999683,0.34614052270678014
86,14.486639054015477,0.7844054242167228,0.13379311007828934,1.485332691757555,1.5093549254488687,0.056257782040236855,0.36420616696329744
87,12.740772711681142,0.7448499025682779,0.07914806045224411,1.5623137943701326,1.5059538170678937,0.06095246688522242,0.28118780407125127
88,13.273879920377388,0.7464589830076968,0.0842156145243566,1.5867722781673321,1.501745682667462,0.059843740001718874,0.25723538634332
89,13.654872060742418,0.7503106769677026,0.08621914774378794,1.5616980909993854,1.50837958790391,0.060381079499225165,0.2929964369252249
90,14.171735832987709,0.7524733150720341,0.0894948314023696,1.5048188200039312,1.511296079304186,0.06013483577038001,0.35232079710986774
91,14.127420119863391,0.7481269820778584,0.08692186433250461,1.488397123462303,1.509479239199851,0.059978504006034675,0.3682187094514254
92,13.682197342290317,0.7454162589999669,0.08100171475659904,1.5561274124016728,1.5081178635002428,0.06161719068177054,0.3230814024229936
93,14.197326092777995,0.7597925192155804,0.10374416874273347,1.4333377747174583,1.5102614910990664,0.05891662605131391,0.36009963222519376
94,14.316022109503704,0.7515200942840498,0.09522293293786215,1.3878561176326978,1.505863376188627,0.057842836260588865,0.3814219528640944
95,14.079412290441518,0.7520296522435395,0.09164076956643974,1.4251420908782109,1.5082218482737455,0.058878563247901555,0.36070747893257576
96,13.746211313233985,0.7583989456513247,0.11567452565073799,1.4797378632403069,1.504012100308812,0.05645052855197339,0.34396560142562427
97,13.382641367609736,0.7681863999877472,0.12934795347791572,1.5620031004383395,1.506273182650433,0.05586944330889827,0.27020180531645016
98,13.590008015759116,0.7522333201531143,0.10255385426038742,1.5283541216851146,1.5073526093983833,0.05848729234266358,0.3062709460590396
99,13.75945869123169,0.7558151973503345,0.11177092181722044,1.4714306732708713,1.5034879342913323,0.05643422193754763,0.37046847978664005
100,13.466432858801475,0.7529771493938727,0.09552672984570376,1.5637714050647056,1.513672583955971,0.05948930776560491,0.27720127556913254
101,13.20952890152563,0.755923091799065,0.10236195032390809,1.590337946490091,1.5122810333663261,0.0591825740825313,0.24067922706514708
102,13.605842642058054,0.7503651500655643,0.09662667139439199,1.5169737561979675,1.5080070469462654,0.0597469332676029,0.29958673035177535
103,13.434334167412084,0.7497865318013339,0.09756068254319913,1.5401685707091541,1.5104219927544051,0.058568610787145,0.26642676784141134
104,13.403178892388071,0.7636834350278262,0.12369030668868682,1.5377942505527842,1.5070447724441838,0.05687102422756816,0.27172644600922835
